Song,Artist
Stay,Rihanna featuring Mikky Ekko
Live Your Life,T.I. featuring Rihanna
Disturbia,Rihanna
Bleeding Love,Leona Lewis
Kiseki,Greeeen
Yeah!,Usher featuring Lil Jon and Ludacris
Rude Boy,Rihanna
Skyfall,Adele
Paparazzi,Lady Gaga
Starships,Nicki Minaj
Ai Se Eu Te Pego,Michel Telo
Womanizer,Britney Spears
Fantastic Baby,Big Bang
Don't Stop The Music,Rihanna
Meet Me Halfway,The Black Eyed Peas
You Belong with Me,Taylor Swift
Cherry Blossom Ending,Busker Busker
Lovers Again,Exile
Shunkashuto,Hilcrhyme
When I Was Your Man,Bruno Mars
Soba ni Iru ne,Thelma Aoyama
Shape of You,Ed Sheeran
Radioactive,Imagine Dragons
Rude,Magic!
We Are Never Ever Getting Back Together,Taylor Swift
Teenage Dream,Katy Perry
On the Floor,Jennifer Lopez featuring Pitbull
Cheerleader,OMI
The Monster,Eminem featuring Rihanna
Give Me Everything,"Pitbull featuring Ne-Yo, Afrojack, and Nayer"
I Knew You Were Trouble,Taylor Swift
Want to Want Me,Jason Derulo
Scream & Shout,will.i.am featuring Britney Spears
Wrecking Ball,Miley Cyrus
We Can't Stop,Miley Cyrus
Bailando,"Enrique Iglesias featuring Sean Paul, Descemer Bueno and Gente de Zona"
Flavor of Life,Utada Hikaru
Let It Go,Idina Menzel
Sorry,Justin Bieber
Halo,Beyonce
Work,Rihanna featuring Drake
7 Years,Lukas Graham
Don't Let Me Down,The Chainsmokers featuring Daya
Born This Way,Lady Gaga
Set Fire to the Rain,Adele
Royals,Lorde
I Took a Pill in Ibiza,Mike Posner
Waka Waka (This Time for Africa),Shakira featuring Freshlyground
Hips Don't Lie,Shakira featuring Wyclef Jean
Mr. Saxobeat,Alexandra Stan
Just Give Me a Reason,Pink featuring Nate Ruess
Stressed Out,Twenty One Pilots
Diamonds,Rihanna
Telephone,Lady Gaga featuring Beyonce
Take a Bow,Rihanna
We Are Young,fun. featuring Janelle Monae
Timber,Pitbull featuring Kesha
Irreplaceable,Beyonce
Shake It Off,Taylor Swift
Not Afraid,Eminem
The Time (Dirty Bit),The Black Eyed Peas
Get Lucky,Daft Punk featuring Pharrell Williams
Blank Space,Taylor Swift
Only Girl (In The World),Rihanna
Fancy,Iggy Azalea featuring Charli XCX
Lollipop,Lil Wayne featuring Static Major
E.T.,Katy Perry featuring Kanye West
Problem,Ariana Grande featuring Iggy Azalea
Hung Up,Madonna
Buy U a Drank (Shawty Snappin'),T-Pain
Run This Town,Jay-Z featuring Kanye West and Rihanna
Imma Be,The Black Eyed Peas
My Love,Justin Timberlake
Don't Matter,Akon
Kiss Me thru the Phone,Soulja Boy Tell'em featuring Sammie
No One,Alicia Keys
Love in This Club,Usher featuring Young Jeezy
Wide Awake,Katy Perry
Alejandro,Lady Gaga
With You,Chris Brown
Don't You Worry Child,Swedish House Mafia featuring John Martin
Heartless,Kanye West
Bang Bang Bang,Big Bang
Home,Phillip Phillips
Make You Feel My Love,Adele
What Goes Around... Comes Around,Justin Timberlake
Party Like a Rockstar,Shop Boyz
Crank That (Soulja Boy),Soulja Boy Tell 'Em
Till the World Ends,Britney Spears
Part of Me,Katy Perry
4 Minutes,Madonna featuring Justin Timberlake and Timbaland
If You,Big Bang
Story,Ai
Maru Maru Mori Mori!,"Ashida Mana & Suzuki Fuku as Kaoru to Tomoki, Tamani Mook"
Levels,Avicii
Stronger (What Doesn't Kill You),Kelly Clarkson
Haruka,Greeeen
Boulevard of Broken Dreams,Green Day
I Like It,Enrique Iglesias featuring Pitbull
Take Me to Your Heart,Michael Learns to Rock
La Tortura,Shakira featuring Alejandro Sanz
Loca,Shakira featuring Dizzee Rascal
One More Night,Maroon 5
OMG,Usher featuring will.i.am
Just Can't Get Enough,The Black Eyed Peas
Dead and Gone,T.I. featuring Justin Timberlake
Whistle,Flo Rida
"Hey, Soul Sister",Train
Mirrors,Justin Timberlake
Last Friday Night (T.G.I.F),Katy Perry
Wild Ones,Flo Rida featuring Sia
The Lazy Song,Bruno Mars
Junrenka,Shonan no Kaze
Circus,Britney Spears
Can't Stop the Feeling!,Justin Timberlake
Baby,Justin Bieber featuring Ludacris
Smack That,Akon featuring Eminem
What's My Name?,Rihanna
The Edge of Glory,Lady Gaga
crushcrushcrush,Paramore
You and I,IU
What the Hell,Avril Lavigne
Say Something,A Great Big World and Christina Aguilera
Rather Be,Clean Bandit featuring Jess Glynne
Butterfly,Kimura Kaela
Don't Cha,The Pussycat Dolls featuring Busta Rhymes
Girlfriend,Avril Lavigne
Lollipop,Lil Wayne featuring Static Major
Poker Face,Lady Gaga
TiK ToK,Kesha
Just the Way You Are,Bruno Mars
Call Me Maybe,Carly Rae Jepsen
Blurred Lines,Robin Thicke featuring T.I. & Pharrell
Happy,Pharrell Williams
See You Again,Wiz Khalifa featuring Charlie Puth
One Dance,Drake featuring Wizkid & Kyla
Shape of You,Ed Sheeran
See You Again,Wiz Khalifa featuring Charlie Puth
Rolling in the Deep,Adele
Poker Face,Lady Gaga
Moves like Jagger,Maroon 5 featuring Christina Aguilera
Uptown Funk,Mark Ronson featuring Bruno Mars
Thinking Out Loud,Ed Sheeran
Call Me Maybe,Carly Rae Jepsen
I Gotta Feeling,The Black Eyed Peas
Love the Way You Lie,Eminem featuring Rihanna
Someone Like You,Adele
Just the Way You Are,Bruno Mars
TiK ToK,Kesha
Blurred Lines,Robin Thicke featuring T.I. and Pharrell
Boom Boom Pow,The Black Eyed Peas
Party Rock Anthem,LMFAO featuring Lauren Bennett and GoonRock
Happy,Pharrell Williams
Just Dance,Lady Gaga featuring Colby O'Donis
Sugar,Maroon 5
Gangnam Style,Psy
Thrift Shop,Macklemore and Ryan Lewis featuring Wanz
Dark Horse,Katy Perry featuring Juicy J
Payphone,Maroon 5 featuring Wiz Khalifa
Lean On,Major Lazer & DJ Snake featuring MO
Somebody That I Used to Know,Gotye featuring Kimbra
Petit Papa Noel,Tino Rossi
She Loves You,The Beatles
Dancing Queen,ABBA
"We Can Work It Out""/""Day Tripper",The Beatles
Get Back,The Beatles
Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya and Pink"
Simon Says,1910 Fruitgum Company
Waterloo,ABBA
My Blue Heaven,Gene Austin
That Silver-Haired Daddy of Mine,Gene Autry
Massachusetts,Bee Gees
Karma Chameleon,Culture Club
Sadeness (Part I),Enigma
My Sweet Lord,George Harrison
Release Me,Engelbert Humperdinck
Seasons in the Sun,Terry Jacks
I'll Be There,The Jackson 5
Crimson and Clover,Tommy James and the Shondells
Delilah,Tom Jones
Great Balls of Fire,Jerry Lee Lewis
Lambada,Kaoma
Like a Prayer,Madonna
Maria,Ricky Martin
Let's All Chant,Michael Zager Band
March from the River Kwai,Mitch Miller
Can't Get You Out of My Head,Kylie Minogue
Daydream Believer,The Monkees
Pass the Dutchie,Musical Youth
I Think I Love You,The Partridge Family
Are You Lonesome Tonight?,Elvis Presley
Surrender,Elvis Presley
Harper Valley PTA,Jeannie C. Riley
Il Silenzio,Nini Rosso
The Chipmunk Song (Christmas Don't Be Late),David Seville and the Chipmunks
Ballad of the Green Berets,Staff Sergeant Barry Sadler
I Can Help,Billy Swan
Joy to the World,Three Dog Night
Telstar,The Tornados
Do You Really Want to Hurt Me,Culture Club
"Sugar, Sugar",The Archies
Save Your Kisses for Me,Brotherhood of Man
Gangsta's Paradise,Coolio featuring L.V.
Jingle Bells,Bing Crosby and The Andrews Sisters
The Prisoner's Song,Vernon Dalhart
Tie a Yellow Ribbon Round the Ole Oak Tree,Dawn featuring Tony Orlando
Cracklin' Rosie,Neil Diamond
I Want You Back,The Jackson 5
Together Again,Janet Jackson
Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
Vogue,Madonna
Careless Whisper,George Michael
I'd Like to Teach the World to Sing (In Perfect Harmony),The New Seekers
Knock Three Times,Tony Orlando and Dawn
Don't Be Cruel,Elvis Presley
The Little Drummer Boy,Harry Simeone Chorale
Bridge over Troubled Water,Simon & Garfunkel
It's a Heartache,Bonnie Tyler
Total Eclipse of the Heart,Bonnie Tyler
I Will Survive,Gloria Gaynor
Wind of Change,Scorpions
Sukiyaki,Kyu Sakamoto
Da Da Da,Trio
Rudolph the Red-Nosed Reindeer,Gene Autry
I Want to Hold Your Hand,The Beatles
Time to Say Goodbye,Andrea Bocelli and Sarah Brightman
Y.M.C.A.,Village People
Do They Know It's Christmas?,Band Aid
Believe,Cher
Kung Fu Fighting,Carl Douglas
Rock Your Baby,George McCrae
Paper Doll,Mills Brothers
The Last Farewell,Roger Whittaker
In the Summertime,Mungo Jerry
Wabash Cannonball,Roy Acuff
Diana,Paul Anka
Un-Break My Heart,Toni Braxton
Macarena,Los del Rio
Chirpy Chirpy Cheep Cheep,Middle of the Road
I'm a Believer,The Monkees
Mundian To Bach Ke,Panjabi MC
Tennessee Waltz,Patti Page
Earth Angel,The Penguins
Hound Dog,Elvis Presley
A Whiter Shade of Pale,Procol Harum
...Baby One More Time,Britney Spears
U Can't Touch This,MC Hammer
Dilemma,Nelly and Kelly Rowland
Genie in a Bottle,Christina Aguilera
Can't Buy Me Love,The Beatles
Hard to Handle,The Black Crowes
Le Freak,Chic
Butterfly,Danyel Gerard
The Ketchup Song (Asereje),Las Ketchup
San Francisco (Be Sure to Wear Flowers in Your Hair),Scott McKenzie
Uninvited,Alanis Morissette
Another One Bites the Dust,Queen
The Wedding,Julie Rogers
Amazing Grace,Royal Scots Dragoon Guards
"Oh, Pretty Woman",Roy Orbison
Wannabe,Spice Girls
Tell Laura I Love Her,Ricky Valance
Eye of the Tiger,Survivor
Mull of Kintyre,Wings
"Whenever, Wherever",Shakira
The House of the Rising Sun,The Animals
Barbie Girl,Aqua
Hey Jude,The Beatles
19,Paul Hardcastle
Those Were the Days,Mary Hopkin
Move On Up a Little Higher,Mahalia Jackson
Livin' La Vida Loca,Ricky Martin
"You're My Heart, You're My Soul",Modern Talking
Smells Like Teen Spirit,Nirvana
Dragostea Din Tei,O-Zone
Heimweh,Freddy Quinn
Venus,Shocking Blue
I Kissed a Girl,Katy Perry
Hot n Cold,Katy Perry
Roar,Katy Perry
Love Yourself,Justin Bieber
Closer,The Chainsmokers feat. Halsey
Love Story,Taylor Swift
Girlfriend,Avril Lavigne
Umbrella,Rihanna featuring Jay-Z
SexyBack,Justin Timberlake
Single Ladies (Put a Ring on It),Beyonce
Wake Me Up,Avicii featuring Aloe Blacc
Cheap Thrills,Sia feat. Sean Paul
California Gurls,Katy Perry featuring Snoop Dogg
All About That Bass,Meghan Trainor
We Found Love,Rihanna featuring Calvin Harris
Firework,Katy Perry
Lose Yourself,Eminem
Love Me like You Do,Ellie Goulding
One Dance,Drake featuring WizKid and Kyla
Grenade,Bruno Mars
Bad Romance,Lady Gaga
Hello,Adele
All of Me,John Legend
I'm Yours,Jason Mraz
Viva La Vida,Coldplay
Right Round,Flo Rida featuring Kesha
Low,Flo Rida featuring T-Pain
